iter	Passed	Remaining
0	208	103898
1	391	97382
2	573	95091
3	758	94000
4	972	96315
5	1144	94268
6	1329	93613
7	1482	91194
8	1637	89329
9	1840	90164
10	2011	89439
11	2198	89411
12	2381	89216
13	2570	89230
14	2749	88916
15	2928	88596
16	3103	88168
17	3312	88691
18	3470	87871
19	3632	87179
20	3799	86672
21	3958	86003
22	4112	85288
23	4268	84656
24	4424	84062
25	4582	83534
26	4764	83465
27	4931	83128
28	5119	83147
29	5301	83057
30	5493	83106
31	5674	82989
32	5866	83025
33	6027	82612
34	6185	82180
35	6372	82139
36	6539	81833
37	6727	81792
38	6942	82067
39	7140	82112
40	7356	82354
41	7518	81987
42	7673	81553
43	7830	81155
44	7998	80874
45	8175	80689
46	8358	80559
47	8508	80124
48	8679	79888
49	8879	79913
50	9053	79706
51	9230	79521
52	9431	79547
53	9608	79361
54	9785	79177
55	9968	79035
56	10144	78840
57	10324	78679
58	10483	78361
59	10656	78147
60	10831	77948
61	10995	77676
62	11175	77516
63	11354	77350
64	11500	76968
65	11673	76761
66	11845	76554
67	11998	76227
68	12150	75895
69	12321	75686
70	12480	75407
71	12634	75102
72	12803	74892
73	12955	74580
74	13106	74272
75	13262	73990
76	13414	73689
77	13554	73332
78	13717	73100
79	13901	72981
80	14070	72786
81	14255	72669
82	14414	72420
83	14574	72178
84	14731	71923
85	14895	71707
86	15042	71409
87	15209	71207
88	15382	71036
89	15529	70745
90	15700	70565
91	15864	70353
92	16021	70115
93	16197	69957
94	16373	69804
95	16535	69586
96	16709	69421
97	16927	69438
98	17095	69244
99	17270	69082
100	17462	68984
101	17611	68717
102	17805	68628
103	17982	68472
104	18197	68456
105	18398	68386
106	18590	68281
107	18816	68296
108	18980	68085
109	19141	67863
110	19310	67672
111	19483	67497
112	19657	67323
113	19849	67209
114	20003	66969
115	20170	66771
116	20362	66655
117	20523	66439
118	20676	66200
119	20856	66046
120	21049	65930
121	21225	65762
122	21403	65602
123	21582	65444
124	21750	65250
125	21936	65111
126	22100	64907
127	22256	64682
128	22445	64551
129	22613	64362
130	22810	64253
131	22961	64014
132	23124	63809
133	23270	63560
134	23459	63427
135	23643	63280
136	23815	63103
137	23975	62892
138	24137	62689
139	24309	62511
140	24480	62329
141	24629	62093
142	24805	61926
143	24956	61698
144	25114	61487
145	25287	61314
146	25428	61063
147	25577	60832
148	25724	60599
149	25876	60379
150	26034	60172
151	26176	59930
152	26338	59735
153	26485	59505
154	26633	59280
155	26798	59093
156	26957	58894
157	27100	58661
